date,areaType,areaCode,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
31/10/2020,utla,E10000029,Suffolk,4948,58
31/10/2020,utla,E08000007,Stockport,7440,127
31/10/2020,utla,E06000052,Cornwall and Isles of Scilly,2373,21
31/10/2020,utla,E08000030,Walsall,5495,113
30/10/2020,utla,E08000024,Sunderland,7478,138
30/10/2020,utla,E06000050,Cheshire West and Chester,5911,118
30/10/2020,utla,E08000015,Wirral,8072,108
30/10/2020,utla,E06000001,Hartlepool,2324,49
30/10/2020,utla,E09000007,Camden,2378,46
30/10/2020,utla,S12000018,Inverclyde,669,9
30/10/2020,utla,E06000014,York,4411,58
30/10/2020,utla,E06000004,Stockton-on-Tees,4706,118
30/10/2020,utla,E06000015,Derby,4288,167
30/10/2020,utla,E08000001,Bolton,10602,218
30/10/2020,utla,E06000056,Central Bedfordshire,2368,53
30/10/2020,utla,E06000032,Luton,3460,83
30/10/2020,utla,N09000006,Fermanagh and Omagh,1424,37
30/10/2020,utla,E06000007,Warrington,5997,153
30/10/2020,utla,E09000029,Sutton,2029,33
30/10/2020,utla,E06000022,Bath and North East Somerset,2177,80
30/10/2020,utla,E06000012,North East Lincolnshire,2223,132
30/10/2020,utla,E08000021,Newcastle upon Tyne,11550,126
30/10/2020,utla,E06000045,Southampton,2328,73
30/10/2020,utla,E09000023,Lewisham,2871,42
30/10/2020,utla,E06000025,South Gloucestershire,3105,121
30/10/2020,utla,E06000040,Windsor and Maidenhead,1461,31
30/10/2020,utla,W06000004,Denbighshire,1480,15
30/10/2020,utla,E06000030,Swindon,2349,61
30/10/2020,utla,E06000024,North Somerset,2069,58
30/10/2020,utla,E06000002,Middlesbrough,3557,76
30/10/2020,utla,W06000003,Conwy,1492,15
30/10/2020,utla,W06000020,Torfaen,1109,26
30/10/2020,utla,E06000047,County Durham,12523,229
30/10/2020,utla,W06000002,Gwynedd,1180,7
30/10/2020,utla,E10000012,Essex,12632,250
30/10/2020,utla,N09000004,Causeway Coast and Glens,2024,63
30/10/2020,utla,E09000026,Redbridge,4090,103
30/10/2020,utla,E10000031,Warwickshire,7167,165
30/10/2020,utla,E09000003,Barnet,4438,77
30/10/2020,utla,W06000005,Flintshire,2181,34
30/10/2020,utla,E08000032,Bradford,19409,429
30/10/2020,utla,E09000010,Enfield,3657,58
30/10/2020,utla,E06000026,Plymouth,2330,60
30/10/2020,utla,E06000018,Nottingham,13611,183
30/10/2020,utla,E09000009,Ealing,4870,87
30/10/2020,utla,S12000026,Scottish Borders,717,9
30/10/2020,utla,E08000009,Trafford,6192,127
30/10/2020,utla,W06000013,Bridgend,2490,74
